Escenario,Modelo,Tipo,Recall_train_CV,Recall_valid_CV,Gap_train_valid,Diagnostico_ajuste,Sostiene_en_test
A - Todas las variables,Regresion Logistica,Base,0.9656,0.9526,0.013,estable,referencia
A - Todas las variables,Regresion Logistica,Optimizado,0.9841,0.9789,0.0052,estable,si
A - Todas las variables,KNN,Base,0.9643,0.9472,0.0171,estable,referencia
A - Todas las variables,KNN,Optimizado,0.9643,0.9632,0.0011,estable,no
A - Todas las variables,SVM,Base,0.9749,0.9632,0.0117,estable,referencia
A - Todas las variables,SVM,Optimizado,1.0,1.0,0.0,estable,si
B - Top 3 variables,Regresion Logistica,Base,0.9378,0.9366,0.0013,estable,referencia
B - Top 3 variables,Regresion Logistica,Optimizado,0.9471,0.9471,0.0,estable,no
B - Top 3 variables,KNN,Base,0.9563,0.9525,0.0039,estable,referencia
B - Top 3 variables,KNN,Optimizado,0.963,0.9578,0.0052,estable,no
B - Top 3 variables,SVM,Base,0.9458,0.9418,0.004,estable,referencia
B - Top 3 variables,SVM,Optimizado,0.9762,0.9735,0.0026,estable,si
